id	effectiveTime	active	moduleId	refsetId	referencedComponentId	rangeConstraint	attributeRule	ruleStrengthId	contentTypeId
4d606e02-ffec-439c-a6a3-ff6e42aa2a79	20200731	1	900000000000012004	723562003	371881003	<< 71388002 |Procedure (procedure)|	(<< 272379006 |Event (event)| OR << 404684003 |Clinical finding (finding)|): [0..*] { [0..1] 371881003 |During| = << 71388002 |Procedure (procedure)| }	723597001	723596005
4f3e5e29-1296-465b-9d6b-f0060c681907	20200731	1	900000000000012004	723562003	704319004	<< 105590001 |Substance (substance)| OR << 123037004 |Body structure (body structure)| OR << 123038009 |Specimen (specimen)| OR << 125676002 |Person (person)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)| OR << 410607006 |Organism (organism)| OR << 419891008 |Record artifact (record artifact)|	<< 363787002 |Observable entity (observable entity)|: [0..*] { [0..1] 704319004 |Inheres in| = (<< 105590001 |Substance (substance)| OR << 123037004 |Body structure (body structure)| OR << 123038009 |Specimen (specimen)| OR << 125676002 |Person (person)| OR << 260787004 |Physical object (physical object)| OR << 373873005 |Pharmaceutical / biologic product (product)| OR << 410607006 |Organism (organism)| OR << 419891008 |Record artifact (record artifact)|) }	723597001	723596005
51891776-2dc8-4a4b-ba5c-d1e5a279abb5	20170731	1	900000000000012004	723562003	418775008	<< 71388002 |Procedure (procedure)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 418775008 |Finding method| = << 71388002 |Procedure (procedure)| }	723597001	723596005
52d8ebc7-6c09-41b5-be7f-2373d1686be3	20200731	1	900000000000012004	723562003	47429007	<< 105590001 |Substance (substance)| OR << 260787004 |Physical object (physical object)| OR << 272379006 |Event (event)| OR << 404684003 |Clinical finding (finding)| OR << 410607006 |Organism (organism)| OR << 71388002 |Procedure (procedure)| OR << 78621006 |Physical force (physical force)|	(<< 272379006 |Event (event)| OR << 404684003 |Clinical finding (finding)|): [0..*] { [0..*] 47429007 |Associated with| = (<< 105590001 |Substance (substance)| OR << 260787004 |Physical object (physical object)| OR << 272379006 |Event (event)| OR << 404684003 |Clinical finding (finding)| OR << 410607006 |Organism (organism)| OR << 71388002 |Procedure (procedure)| OR << 78621006 |Physical force (physical force)|) }	723597001	723594008
571f5cbb-c150-4a6f-add5-510884835720	20170731	1	900000000000012004	723562003	424244007	<< 78621006 |Physical force (physical force)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 424244007 |Using energy| = << 78621006 |Physical force (physical force)| }	723597001	723596005
59ab2f6a-0075-4438-83c8-065f0f8924f2	20170731	1	900000000000012004	723562003	405813007	<< 442083009 |Anatomical or acquired body structure (body structure)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 405813007 |Procedure site - Direct| = << 442083009 |Anatomical or acquired body structure (body structure)| }	723597001	723596005
5d65c8b2-f5e3-4445-8be3-2a0484962c2e	20190731	1	900000000000012004	723562003	411116001	<< 736542009 |Pharmaceutical dose form (dose form)|	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..1] 411116001 |Has manufactured dose form| = << 736542009 |Pharmaceutical dose form (dose form)|	723597001	723596005
6019965b-ddb9-4a4e-9cfc-c8fecca39de8	20170731	1	900000000000012004	723562003	408731000	<< 410510008 |Temporal context value (qualifier value)|	<< 243796009 |Situation with explicit context (situation)|: [0..*] { [0..1] 408731000 |Temporal context| = << 410510008 |Temporal context value (qualifier value)| }	723597001	723596005
61826c65-bbcb-4a47-b0ed-29bb6d608b32	20170731	1	900000000000012004	723562003	263502005	<< 288524001 |Courses (qualifier value)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 263502005 |Clinical course| = << 288524001 |Courses (qualifier value)| }	723597001	723596005
699b84f0-dc4a-457c-9a21-b83ff453fd1d	20180731	1	900000000000012004	723562003	732947008	< 767524001 |Unit of measure (qualifier value)|	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..*] { [0..1] 732947008 |Has presentation strength denominator unit| = < 767524001 |Unit of measure (qualifier value)| }	723597001	723596005
69b93d4f-24b4-4abe-b1f2-08602f8df1c4	20170731	1	900000000000012004	723562003	363701004	<< 105590001 |Substance (substance)| OR << 373873005 |Pharmaceutical / biologic product (product)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 363701004 |Direct substance| = (<< 105590001 |Substance (substance)| OR << 373873005 |Pharmaceutical / biologic product (product)|) }	723597001	723596005
6b6e3ed0-383e-4950-b7e8-ae11277663b9	20230630	1	900000000000012004	723562003	363589002	<< 71388002 |Procedure (procedure)|	<< 129125009 |Procedure with explicit context (situation)|: [0..*] { [0..1] 363589002 |Associated procedure| = << 71388002 |Procedure (procedure)| }	723597001	723594008
6c72c94c-0bf9-49af-9abb-da66727b7b85	20170731	1	900000000000012004	723562003	118168003	<< 49755003 |Morphologically abnormal structure (morphologic abnormality)|	<< 123038009 |Specimen (specimen)|: [0..*] { [0..1] 118168003 |Specimen source morphology| = << 49755003 |Morphologically abnormal structure (morphologic abnormality)| }	723597001	723596005
74027941-b0c4-40fc-b12e-3e58cd9cdc9e	20170731	1	900000000000012004	723562003	408732007	<< 125676002 |Person (person)|	<< 243796009 |Situation with explicit context (situation)|: [0..*] { [0..1] 408732007 |Subject relationship context| = << 125676002 |Person (person)| }	723597001	723596005
757df33e-2e3d-50d5-7fd8-af98c0e04439	20250201	1	900000000000012004	723562003	116688005	<< 103379005 |Procedural approach (qualifier value)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 116688005 |Procedure approach| = << 103379005 |Procedural approach (qualifier value)| }	723597001	723596005
79cb1aae-7943-40e8-81ae-125379645f9f	20170731	1	900000000000012004	723562003	424361007	<< 105590001 |Substance (substance)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 424361007 |Using substance| = << 105590001 |Substance (substance)| }	723597001	723596005
7d23e837-4e2b-45cd-b5c8-8ea9b51daae0	20170731	1	900000000000012004	723562003	363702006	<< 404684003 |Clinical finding (finding)| OR << 71388002 |Procedure (procedure)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 363702006 |Has focus| = (<< 404684003 |Clinical finding (finding)| OR << 71388002 |Procedure (procedure)|) }	723597001	723596005
