id	effectiveTime	active	moduleId	refsetId	referencedComponentId	domainId	grouped	attributeCardinality	attributeInGroupCardinality	ruleStrengthId	contentTypeId
39dde89d-dbb3-45a6-94e3-7c28073ac578	20170731	1	900000000000012004	723561005	118168003	123038009	1	0..*	0..1	723597001	723596005
3aecd7e7-57f4-464c-9a17-d1126c837836	20170731	1	900000000000012004	723561005	363701004	71388002	1	0..*	0..1	723597001	723596005
3af5b0c7-a293-4330-8101-b61c2421c2dc	20170731	1	900000000000012004	723561005	363699004	71388002	1	0..*	0..1	723597001	723596005
3e984ab7-c9e6-4919-bd3a-0c2cd3e205a6	20220731	0	900000000000012004	723561005	116676008	404684003	1	0..*	0..1	723597001	723593002
3f047361-51be-450e-95d3-7a6908503f8e	20170731	1	900000000000012004	723561005	732945000	373873005	1	0..*	0..1	723597001	723596005
49bafaf8-d60b-46b5-a9ac-bb9a2dc01522	20170731	1	900000000000012004	723561005	42752001	404684003	1	0..*	0..1	723597001	723596005
51018539-2a40-44a1-b546-26c03baa9e4e	20170731	1	900000000000012004	723561005	255234002	404684003	1	0..*	0..1	723597001	723596005
5622fcce-f014-4570-b25f-f2a3d74be9f2	20170731	1	900000000000012004	723561005	370135005	404684003	1	0..*	0..1	723597001	723596005
58388c47-7807-4ba2-8be8-dc92cf930679	20180131	1	900000000000012004	723561005	405815000	363787002	1	0..*	0..1	723597001	723596005
583d09e9-d206-459c-8179-816d7ca19237	20170731	1	900000000000012004	723561005	272741003	91723000	0	0..1	0..0	723597001	723596005
5e44f435-98f2-484b-bc0a-af7bc0b0c29d	20170731	1	900000000000012004	723561005	408732007	243796009	1	0..*	0..1	723597001	723596005
6252da0e-fa44-4e9e-8497-6bea38379e07	20170731	1	900000000000012004	723561005	363589002	129125009	1	0..*	0..1	723597001	723596005
62b647c7-4d06-48dd-be0d-62368875e04f	20240501	1	900000000000012004	723561005	246093002	363787002	1	0..*	0..*	723597001	723596005
6355d014-0cd9-43f9-94c5-1724e81a1f04	20170731	1	900000000000012004	723561005	42752001	272379006	1	0..*	0..1	723597001	723596005
6ce73487-1c2f-4e02-9c78-5a9d5000c077	20250601	1	900000000000012004	723561005	370132008	386053000	1	0..*	0..1	723597001	723596005
